指标, 1995年, 1996年, 1997年, 1998年, 1999年, 2000年, 2001年, 2002年, 2003年, 2004年, 2005年, 2006年, 2007年, 2008年, 2009年, 2010年, 2011年, 2012年, 2013年, 2014年, 2015年
国内生产总值(亿元), 61339.9, 71813.6, 79715, 85195.5, 90564.4, 100280.1, 110863.1, 121717.4, 137422, 161840.2, 187318.9, 219438.5, 270232.3, 319515.5, 349081.4, 413030.3, 489300.6, 540367.4, 595244.4, 643974, 676708
人均国内生产总值(元), 5091, 5898, 6481, 6860, 7229, 7942, 8717, 9506, 10666, 12487, 14368, 16738, 20505, 24121, 26222, 30876, 36403, 40007, 43852, 47203, 49178
